dx1,dy1,dx2,dy2,dx3,dy3,dx4,dy4,dx5,dy5,dx6,dy6,dx7,dy7,dx8,dy8,dx9,dy9,dx10,dy10,Distance,Username
871,-304,305,-252,-414,365,-1128,-365,2400,101,22,-84,-238,313,-54,-243,35,-66,-1766,392,8070.456571,Wingus
2011,61,-33,-41,-2217,227,850,-250,197,19,504,91,1021,-110,192,8,-14,13,-638,352,7856.054367,Wingus
-45,-8,-84,22,-226,-16,116,-28,21,4,1,-1,31,13,-11,14,-19,8,-675,225,1284.775628,Wingus
-83,-307,-307,402,-671,-195,-119,-155,-9,2,40,113,-60,408,-22,-469,11,-64,1,2,2796.182548,Wingus
-100,-202,-12,6,-165,157,-16,-11,0,2,2,5,212,33,18,38,-15,35,2,15,803.1863588,Wingus
329,160,14,-306,451,98,122,-149,-57,60,-398,-277,196,171,-148,45,-89,-30,-45,25,2454.12403,Wingus
-202,439,0,0,-10,-2,-1407,-593,-1160,-288,53,2,2,0,1,2,0,0,322,374,3766.31006,Wingus
54,80,-4,5,-26,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.9813251,Wingus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,-204,400.8004491,Wingus
1952,-535,484,-63,-159,34,49,-21,19,6,-2,0,-409,530,-515,-192,-9,102,0,15,4086.386976,Wingus
8,10,42,-113,51,-86,60,132,-53,756,-252,-222,-194,-54,76,-116,-76,59,-6,72,1980.553097,Wingus
-35,84,83,129,-593,-41,-158,-23,-321,264,-289,45,-48,10,-4,-3,0,0,0,0,1760.60536,Wingus
0,0,150,-676,257,44,533,-430,51,12,32,-12,62,7,-880,374,-249,391,14,153,3360.342437,Wingus
-1,6,0,10,-2,0,-5,-1,6,-18,78,-149,-243,-8,-48,-24,-45,-569,621,482,1864.018344,Wingus
-705,22,648,460,519,-256,-407,-28,-504,-91,197,366,47,114,-28,-16,0,-1,0,0,3571.037379,Wingus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wingus
4,63,-9,54,-18,30,-3,4,-4,6,-3,0,0,-2,1,-1,0,0,0,0,171.4827467,Wingus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wingus
54,-36,1447,-169,1170,-374,-55,11,5,-19,-25,-81,179,-310,3,8,-446,184,-1036,227,4820.118402,Wingus
2221,622,-1032,15,302,-374,-741,479,-213,196,-76,30,842,7,835,-99,-735,19,200,47,7696.343144,Wingus
643,-297,-22,-166,-768,212,261,-364,-681,-121,-176,428,-149,-193,354,564,79,-24,42,-89,4365.489321,Wingus
1035,986,266,-4,78,-18,58,11,-9,6,-257,-83,-907,-764,534,-43,463,763,117,149,4919.042727,Wingus
-753,-1072,-13,14,-2,2,0,1,-56,27,-3,8,-46,-46,-8,-5,0,9,0,316,1803.169829,Wingus
1157,-230,8,-325,0,0,-916,289,-1143,387,-5,-4,56,178,2,0,-13,11,-110,134,4057.385451,Wingus
-2,0,0,0,0,-2,0,0,-14,-1,-2,-1,-24,-29,-2,6,0,5,2,1,71.47542057,Wingus
0,0,199,-25,108,-388,-209,34,-637,19,474,333,174,135,-40,-74,-1,-23,0,0,2358.995378,Wingus
-106,-206,-9,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.8917266,Wingus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wingus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wingus
0,0,-31,-1,-525,114,-1019,272,-11,81,-93,-9,1,1,360,-1060,125,37,-181,-28,3232.498706,Wingus
-194,-1,22,-8,25,25,19,349,25,34,-109,-422,-31,9,5,41,-111,344,134,-212,1766.183342,Wingus
769,276,322,172,-606,-318,-479,-170,-23,-105,-30,-49,-19,-30,-2,-5,0,0,-7,3,2588.184525,Wingus
3,30,116,310,-30,-33,-167,23,-6,21,-47,-185,-304,-44,15,3,1,1,324,112,1453.724806,Wingus
513,185,-171,-150,299,138,-448,-112,-13,-6,-358,-254,487,538,-135,-22,268,-80,-281,-105,3459.297854,Wingus
127,-33,-4,-4,-3,122,-448,139,833,-403,-421,270,27,-32,-30,41,29,-26,820,60,3107.29729,Wingus
391,-45,887,-86,106,-211,95,-418,-55,12,-29,-4,60,85,-907,285,134,-160,230,-217,3614.774786,Wingus
425,573,75,-10,-71,-14,-226,-52,160,-6,9,2,0,-1,99,-578,70,-5,2,3,1923.87911,Wingus
-202,247,-823,692,45,-38,-149,149,1,-2,0,1,83,7,1,1,62,-398,273,-218,2504.067669,Wingus
-154,606,-167,0,-69,-28,-40,22,6,-8,33,-3,46,0,-23,2,-54,-242,-27,-105,1380.967501,Wingus
-342,-381,-86,-105,-62,7,200,126,1399,39,56,-48,-43,-124,-72,79,-518,568,-108,-47,3544.427202,Wingus
181,-157,0,-2,-111,110,-253,322,-650,-309,8,26,-2,-9,0,-1,5,-11,-2,25,1601.673769,Wingus
-647,-74,77,22,2,2,5,7,0,0,-4,18,27,124,99,-25,220,-5,-8,-134,1344.477807,Wingus
209,74,-705,159,150,-5,-19,4,-29,3,-3,7,282,-76,817,-263,-426,-292,-95,36,2919.102089,Wingus
8,-4,4,17,-576,305,-235,-77,-10,68,0,-18,13,-3,0,-15,18,-18,0,0,1065.998335,Wingus
221,149,-6,-9,56,-820,-281,89,-197,-89,-11,14,593,498,232,162,-13,-14,-28,-3,2732.597699,Wingus
6,-302,-100,2,59,177,1,24,1,-4,0,0,0,0,-527,-39,-259,-160,2,178,1627.685789,Wingus
661,-245,-245,203,-130,-81,-3,8,-23,-7,-64,91,1419,0,71,11,307,167,182,187,3421.400208,Wingus
-26,31,-2,7,-17,-6,-116,17,236,-5,-75,-23,-372,-386,-157,16,-70,63,389,-11,1674.729587,Wingus
127,20,17,-2,14,3,-214,670,4,10,5,378,-637,-15,-187,-130,-79,-28,-321,-452,2755.276481,Wingus
2,-36,788,-128,-35,25,-925,679,-34,-19,7,-1,-14,-11,-6,-401,-244,-349,-22,48,2968.363537,Wingus
